Info - Ticker;Company;Info - Country;Info - Industry;Info - Sector;ROE - Current;FCF margin - Current;Debt-Equity - Current;P/E - Current;Market Cap - Current USD;Info - Report;Dividend - Point;MA - MA 50d;MA - MA 200d;Div. Yield - Current;Dividend - Stable 10y;Dividend - Stable 5y;Dividend g. - Growth 5y;Revenue g. - Growth 5y;Performance - Perform. 1y;Stock price - Current;Info - Price Currency;Info - Report Currency;Earnings/share - Current;ROIC - Average 5y;Earnings g. - Growth 5y;Fair value
DMLP;Dorchester Minerals LP;USA;Oil & Gas -Exploration;Energy;18,8%;86,7%;0,0;23,5;1298,1;Q4-2025;7;24,97;25,06;10,2%;10;5;14,8%;26,6%;-8,3%;27,24;USD;USD;1,16;58,4%;13,7%;28,67
EBF;Ennis Inc;USA;Industrial Components;Industrials;14,0%;10,9%;0,2;12,7;545,1;Q3-2026;9;20,03;18,45;4,7%;10;5;2,1%;1,7%;-0,3%;21,14;USD;USD;1,66;15,6%;12,3%;26,22
EOG;EOG Resources Inc;USA;Oil & Gas -Exploration;Energy;16,7%;15,3%;0,7;14,7;73038,9;Q4-2025;10;116,71;114,68;2,9%;10;5;22,8%;18,0%;8,5%;134,51;USD;USD;9,17;18,8%;61,0%;177,40
EQS;Equasens;France;Medical Supplies;Health Care;15,7%;16,6%;0,7;14,8;588,6;Q4-2024;10;38,31;43,39;3,5%;10;5;8,0%;6,5%;0,1%;35,60;EUR;EUR;2,41;20,6%;6,0%;44,54
EVO;Evolution;Sweden;Gambling & Casinos;Consumer Durables;26,1%;53,7%;0,4;10,2;12059,2;Q4-2025;11;570,91;694,14;5,1%;10;5;32,7%;29,8%;-25,9%;589,80;SEK;EUR;5,33;28,5%;28,1%;1 173,61
XOM;Exxon Mobil Corp;USA;Oil & Gas -Exploration;Energy;11,1%;7,3%;0,7;23,5;676886,9;Q4-2025;8;142,01;120,15;2,5%;10;5;2,8%;12,3%;40,5%;157,23;USD;USD;6,70;11,8%;26,8%;136,15
FPE;Fuchs SE;Germany;Chemicals;Materials;15,6%;8,3%;0,4;12,9;2078,5;Q3-2025;9;30,06;31,31;4,0%;10;5;3,9%;8,4%;-22,5%;28,80;EUR;EUR;2,24;15,4%;7,2%;44,49
GAMA;Gamma Communications PLC;UK;Telecom Services;Telecom;18,7%;10,6%;0,8;12,6;1057,3;Q2-2025;9;8,93;;2,2%;10;5;12,3%;9,3%;;8,81;GBP;GBP;0,70;20,7%;0,6%;13,52
GTT;Gaztransport et technigaz SA;France;Oil & Gas - Services;Energy;70,3%;52,7%;0,8;17,8;8114,4;Q4-2025;9;182,31;168,18;3,9%;10;5;13,0%;15,2%;39,1%;199,10;EUR;EUR;11,16;205,2%;15,8%;275,30
HLAG;Hapag-Lloyd AG;Germany;Marine & Sea;Industrials;8,7%;9,7%;0,6;16,7;28368,8;Q3-2025;9;125,32;123,46;5,6%;7;5;49,4%;8,7%;2,7%;146,70;EUR;EUR;8,77;46,0%;10,7%;179,96
HSP;Hargreaves Services PLC;UK;Industrial Components;Industrials;10,8%;13,7%;0,7;11,4;312,7;Q2-2026;9;7,27;;4,9%;10;5;38,7%;9,5%;;7,49;GBP;GBP;0,66;10,9%;5,3%;9,02
HEN;Henkel AG & Co KGaA;Germany;Personal Products;Food and Beverage;10,4%;9,8%;0,6;13,1;30302,2;Q2-2025;9;70,61;65,86;3,1%;10;5;2,0%;1,9%;-3,7%;65,75;EUR;EUR;5,00;7,7%;9,0%;85,39
HILS;Hill & Smith PLC;UK;Construction & Infrastructure;Industrials;17,4%;11,9%;0,6;20,4;2148,6;Q4-2025;9;22,98;21,11;2,4%;10;5;40,6%;5,6%;11,1%;21,00;GBP;GBP;1,03;11,8%;27,7%;21,12
ITRN;Ituran Location & Control Ltd;USA;Semiconductors;Technology;26,6%;18,6%;0,7;17,3;1002,4;Q4-2025;9;46,37;40,34;4,0%;10;5;52,8%;7,9%;32,8%;50,44;USD;USD;2,92;28,4%;30,6%;46,00
JHD;James Halstead PLC;UK;Construction Supplies;Industrials;22,3%;12,2%;0,3;12,4;632,8;Q4-2025;9;1,34;;7,3%;10;5;7,6%;1,9%;;1,21;GBP;GBP;0,10;37,4%;3,3%;1,80
KRP;Kimbell Royalty Partners LP;USA;Oil & Gas -Exploration;Energy;13,2%;7,1%;0,7;23,8;1338,4;Q4-2025;6;13,50;13,48;10,9%;7;5;13,0%;28,2%;5,4%;14,74;USD;USD;0,62;6,2%;16,3%;15,89
LPE;Laurent-Perrier;France;Brewers;Food and Beverage;7,1%;7,6%;0,8;11,4;566,6;Q2-2026;9;90,14;92,41;2,4%;10;5;15,3%;8,7%;-12,4%;87,60;EUR;EUR;7,68;6,5%;12,5%;110,88
MPE;M P Evans Group PLC;UK;Farming;Food and Beverage;19,4%;33,6%;0,2;9,9;985,4;Q2-2025;9;13,83;12,82;3,5%;10;5;25,5%;16,1%;;14,90;GBP;USD;2,03;16,5%;40,2%;30,31
