Company;Info - Ticker;Info - Country;Div. Payout - Current;FCF margin - Current;Revenue g. - Growth 5y;Info - Industry;Profit marg - Current;Market Cap - Current USD;Debt-Equity - Current;P/E - Current;FS & G & Div. - Point;Earnings - Stable 5y;Dividend - Stable 5y;Dividend - Current;Earnings/share - Current;Magic - Rank;MA - MA 200d;MA - MA 50d;Price / MA - MA 200d;RSI - RSI(14);Performance - Perform. 1m;Performance - Perform. 6m;Performance - Perform. 1y;Stock price - Current;Info - Price Currency;Info - Report Currency;Earnings/share - Current;ROIC - Average 5y;FCF growth - Growth 5y;Earnings g. - Growth 5y;Fair value
Miquel y Costas & Miquel SA;MQ4;Germany;41%;6,1%;2,7%;Packaging;14,4%;589,6;0,3;11,9;19;5;5;0,49;1,19;1747;14,00;13,97;1,1%;59,3;1,8%;0,4%;9,7%;14,15;EUR;EUR;1,19;12,7%;-16,6%;1,2%;14,54
Moncler SpA;MONC;Italy;58%;23,0%;16,6%;Clothing & Footwear;19,7%;15699,1;0,5;23,3;18;5;4;1,30;2,26;2072;51,79;51,93;1,7%;50,8;-6,7%;2,0%;-8,2%;52,67;EUR;EUR;2,26;19,4%;12,6%;13,7%;43,11
Moury Construct SA;FO3;Germany;27%;10,2%;10,6%;Construction & Infrastructure;11,9%;302,9;0,7;10,8;18;5;5;17,50;64,40;91;586,70;647,16;18,6%;60,2;3,6%;22,5%;49,4%;696,00;EUR;EUR;64,40;92,3%;88,9%;22,8%;844,33
MPC Container Ships;MPCC;Norway;51%;42,2%;24,7%;Marine & Sea;45,8%;1016,5;0,6;4,2;17;4;4;0,27;0,53;272;18,47;20,85;24,0%;58,1;3,0%;38,7%;44,0%;22,91;NOK;USD;0,53;37,2%;76,3%;39,4%;59,14
Mueller Industries Inc;MLI;USA;14%;17,6%;11,7%;Industrial Components;18,3%;12121,1;0,2;15,8;22;5;5;1,00;6,99;904;105,31;118,21;5,1%;44,1;-7,0%;10,1%;42,8%;110,72;USD;USD;6,99;43,1%;33,5%;41,1%;188,52
Mycronic;MYCR;Sweden;41%;3,5%;15,4%;Semiconductors;19,7%;4274,1;0,5;27,3;19;5;5;3,25;7,99;2637;210,57;205,87;3,6%;56,2;7,1%;0,7%;2,3%;218,25;SEK;SEK;7,99;26,8%;-22,2%;17,3%;150,57
NAPCO Security Technologies Inc;NS1;Germany;41%;28,1%;11,0%;Security;24,7%;1318,3;0,2;29,6;15;5;3;0,55;1,33;2750;33,21;35,90;0,9%;40,7;-13,9%;-7,2%;58,6%;33,50;EUR;USD;1,33;47,6%;27,1%;25,9%;38,70
National Healthcare Corp;NHC;USA;33%;7,6%;9,1%;Healthcare Facilities;7,9%;2518,1;0,4;21,0;19;5;5;2,53;7,76;3768;129,25;158,70;25,9%;55,1;-4,9%;33,6%;73,9%;162,75;USD;USD;7,76;9,4%;9,9%;23,1%;138,28
Nippon Yusen Kabushiki Kaisha;NYKA;Germany;43%;16,5%;8,8%;Marine & Sea;12,8%;16221,7;0,5;8,2;19;5;5;310,00;724,06;5285;29,12;29,41;17,0%;68,4;14,5%;17,6%;13,6%;34,06;EUR;JPY;724,06;21,2%;75,8%;21,4%;53,53
NVE Corp;NVEC;USA;137%;49,9%;4,0%;Semiconductors;54,6%;335,1;0,0;23,6;17;5;5;4,00;2,93;2445;67,50;68,04;2,6%;55,2;-0,8%;4,1%;9,0%;69,28;USD;USD;2,93;40,1%;1,4%;3,9%;64,19
