Company;Info - Ticker;Info - Country;Info - Sector;Info - Industry;Market Cap - Current;P/E - Current;Current r. - Current;Debt-Equity - Current;FCF margin - Average 3y;ROA - Average 5y;MA - MA 50d;MA - MA 200d;Info - Report;F-Score - Point;FS & G & Div. - Point;Earnings - Stable 5y;OP Cash F. - Stable 5y;Price / MA - MA 200d;Performance - Perform. 1y;Performance - Perform. 1m;Performance - Perform. 6m;Stock price - Current;Info - Price Currency;Info - Report Currency;Earnings/share - Current;ROIC - Average 5y;FCF growth - Growth 5y;Earnings g. - Growth 5y;Fair value
Brady Corp;BRC;USA;Industrials;Security;3837;19,5;2,1;0,4;11,1%;11,7%;87,94;78,87;Q1-2026;6;18;5;5;2,4%;13,3%;-12,5%;3,2%;80,73;USD;USD;4,13;16,6%;2,6%;10,6%;80,58
Caltagirone SpA;QCG;Germany;Industrials;Construction Supplies;1047;7,9;1,5;0,4;13,8%;2,8%;9,49;8,46;Q2-2025;6;17;5;5;3,1%;22,1%;-13,7%;5,8%;8,72;EUR;EUR;1,10;4,2%;15,6%;24,2%;22,58
Cantaloupe Inc;CTLP;USA;Technology;IT Services;792;14,6;1,9;0,5;8,0%;6,9%;10,52;10,70;Q2-2026;7;12;3;4;0,7%;39,5%;2,8%;1,7%;10,78;USD;USD;0,74;10,8%;14,2%;48,8%;21,98
Catalyst Pharmaceuticals Inc;CPRX;USA;Health Care;Biotechnology;3019;14,1;6,1;0,2;37,7%;18,5%;24,08;22,22;Q4-2025;6;13;5;5;11,1%;3,2%;3,4%;18,5%;24,69;USD;USD;1,75;163,4%;35,9%;19,4%;42,07
CCL Industries Inc;CCL.B;Canada;Materials;Packaging;15309;19,1;1,4;0,8;10,0%;7,5%;86,96;82,74;Q4-2025;7;20;5;5;5,9%;25,7%;-6,6%;12,1%;87,63;CAD;CAD;4,59;10,3%;7,0%;9,2%;75,06
CF Industries Holdings Inc;CF;USA;Food and Beverage;Farming;21068;14,5;3,4;0,8;23,5%;12,5%;107,90;91,52;Q4-2025;8;21;5;5;42,0%;63,3%;24,6%;44,7%;129,97;USD;USD;8,98;16,1%;22,8%;43,4%;224,23
CI&T Inc;CINT;USA;Technology;IT Services;668;18,6;1,4;0,8;11,5%;5,1%;5,03;4,99;Q3-2025;8;12;5;5;0,5%;-16,2%;1,2%;2,7%;5,02;USD;USD;0,27;8,9%;13,9%;7,6%;6,07
Cipher Pharmaceuticals Inc;CPH;Canada;Health Care;Pharmaceuticals;482;19,9;1,3;0,3;60,8%;18,7%;15,54;14,50;Q3-2025;6;11;5;5;30,2%;50,4%;22,3%;15,0%;18,88;CAD;USD;0,68;38,0%;28,5%;33,6%;24,17
Cirrus Logic Inc;CRUS;USA;Technology;Semiconductors;7603;18,8;7,7;0,2;23,3%;13,4%;138,08;122,41;Q3-2026;9;19;5;5;20,2%;47,4%;2,9%;16,2%;147,13;USD;USD;7,83;20,5%;14,6%;15,9%;138,93
Clarkson PLC;CKN;UK;Industrials;Marine & Sea;1448;19,2;2,2;0,6;12,7%;9,0%;43,52;37,95;Q2-2025;6;16;4;5;24,2%;39,3%;5,8%;29,7%;47,15;GBP;GBP;2,45;89,5%;13,1%;35,6%;67,30
Cloetta;CLA B;Sweden;Food and Beverage;Food Processing;15383;19,2;1,6;0,8;8,2%;4,7%;49,98;39,05;Q4-2025;8;17;5;5;36,5%;82,7%;0,2%;54,0%;53,30;SEK;SEK;2,78;6,3%;20,3%;23,2%;57,02
ConocoPhillips;COP;USA;Energy;Oil & Gas -Exploration;163417;20,5;1,3;0,9;15,1%;10,9%;114,97;98,38;Q4-2025;6;17;4;5;32,7%;23,8%;10,4%;39,8%;130,52;USD;USD;6,36;13,5%;68,9%;35,3%;213,12
Corbion NV;CRBN;Netherlands;Materials;Chemicals;1085;14,5;1,9;0,9;4,7%;6,6%;19,74;18,29;Q4-2025;7;16;5;5;2,3%;-4,5%;-2,1%;12,4%;18,71;EUR;EUR;1,29;9,8%;19,7%;0,8%;21,33
Costamare Inc;CMRE;USA;Industrials;Marine & Sea;2074;5,4;1,7;0,8;14,1%;8,6%;16,78;13,61;Q3-2025;8;21;5;5;27,0%;127,6%;-3,5%;44,7%;17,28;USD;USD;3,22;11,4%;17,8%;81,9%;52,13
Coterra Energy Inc;CTRA;USA;Energy;Oil & Gas -Exploration;26300;15,4;1,2;0,6;23,2%;9,2%;31,38;26,47;Q4-2025;7;18;5;5;30,5%;18,9%;9,7%;49,3%;34,56;USD;USD;2,25;10,3%;56,2%;35,1%;58,18
