Info - Ticker;Company;P/E - Current;Info - Sector;Info - Country;Info - Industry;FCF margin - Current;Debt-Equity - Current;Profit marg - Current;P/E - Current;Market Cap - Current USD;Canslim - 0-100;Earnings g. - Y-Y Growth;Earnings g. - Growth 1y;Earnings g. - Growth 3y;MA - MA 50d;MA - MA 200d;Revenue g. - Growth 3y;RS Rank - L - 0-100;RS Rank - L - Industry;Volume Rank - 0-100;Trend - Price/H-L 1y;Market Cap - Current SEK;Performance - Perform. 1m;Performance - Perform. 1y;Stock price - Current;Info - Price Currency;Info - Report Currency;Earnings/share - Average 5y;ROIC - Average 5y;Earnings g. - Growth 5y;Fair value
COCO;The Vita Coco Co Inc;44,7;Food and Beverage;USA;Beverages;6,40%;0,4;11,70%;44,7;3180,9;77;66,70%;26,30%;107,50%;55,15;44,76;12,50%;84;60;73;85%;32508,9;11,60%;58,50%;55,89;USD;USD;0,71;40,00%;16,20%;28,61
TDW;Tidewater Inc;11,3;Energy;USA;Oil & Gas - Services;26,10%;0,8;24,70%;11,3;3767,5;98;525,40%;94,50%;150,10%;68,65;56,73;27,80%;91;71;69;76%;38503,7;5,40%;81,60%;75,27;USD;USD;1,68;4,60%;27,60%;123,15
UI;Ubiquiti Inc;53,4;Technology;USA;Communications;23,50%;0,6;29,90%;53,4;47480,9;68;70,80%;99,60%;29,60%;663,17;573,98;15,30%;94;60;19;95%;485255;11,00%;145,80%;784,88;USD;USD;9,03;82,10%;8,50%;231,82
UCB;UCB SA;31;Health Care;Belgium;Biotechnology;23,80%;0,7;20,10%;31;53098,3;83;26,10%;46,20%;54,80%;261,37;223,18;12,00%;90;49;72;78%;540637,6;-11,00%;37,30%;253,9;EUR;EUR;4,68;8,00%;16,20%;292,3
UNC;UCB SA;31,7;Health Care;Germany;Biotechnology;23,80%;0,7;20,10%;31,7;54290,4;17;26,10%;46,20%;54,80%;260,85;222,07;12,00%;75;49;15;83%;552774,8;-8,80%;40,40%;259,6;EUR;EUR;4,68;8,00%;16,20%;292,3
VICR;Vicor Corp;72,9;Technology;USA;Semiconductors;26,30%;0,1;26,20%;72,9;8640,5;98;347,80%;1778,60%;65,50%;166,45;90,39;4,30%;99;60;80;90%;88305,6;23,30%;245,60%;191,84;USD;USD;1,17;18,80%;44,30%;43,22
WWIB;Wilh. Wilhelmsen B;4,1;Industrials;Norway;Marine & Sea;31,00%;0,3;52,80%;4,1;2735,8;26;44,10%;35,30%;32,80%;622,98;512,34;9,40%;87;65;59;90%;28178,8;-2,00%;69,10%;646;NOK;USD;9,14;12,70%;43,80%;684,2
WLDN;Willdan Group Inc;20,7;Industrials;USA;Construction & Infrastructure;10,40%;0,8;7,70%;20,7;1087,2;88;132,70%;122,70%;96,50%;110,59;96,55;16,70%;61;59;76;39%;11111;-35,30%;81,00%;75,18;USD;USD;0,95;4,60%;37,70%;31,1
WWD;Woodward Inc;45,6;Industrials;USA;Military & Defense;10,80%;0,8;12,90%;45,6;22252,2;33;51,70%;32,40%;28,20%;362,01;285,31;9,20%;91;64;29;88%;227417,8;-5,00%;104,40%;372,62;USD;USD;5,7;10,50%;19,90%;157,9
ZAP;Zaptec;46,3;Industrials;Norway;Energy & Recycling;28,00%;0,5;3,50%;46,3;249,4;65;96,90%;1764,10%;58,20%;26,41;25,86;26,40%;80;42;13;76%;2569,2;-5,80%;56,60%;28,5;NOK;NOK;0,15;2,70%;29,90%;15,75
ZM;Zoom Communications Inc;12,1;Technology;USA;IT Services;39,50%;0,2;39,00%;12,1;22967,5;78;89,20%;92,70%;162,40%;84,75;81,82;3,50%;42;33;76;36%;234728;-16,10%;1,70%;76,43;USD;USD;3,34;95,90%;21,70%;122,33
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
