Info - Ticker;Company;P/E - Current;Info - Sector;Info - Country;Info - Industry;Info - Ticker;ROE - Current;Debt-Equity - Current;FCF margin - Current;Market Cap - Current USD;Performance - Perform. 1y;RS Rank - L - 0-100;Price / MA - MA 50d;Price / MA - MA 150d;Price / MA - MA 200d;MA - 50/150;MA -  50/200;MA - 150/200;MA200 - Trend 1m;Stock price - Price/L 1y;Stock price - Price/H 1y;FS & G & Div. - Point;Earnings - Stable 5y;OP Cash F. - Stable 5y;Stock price - Current;Stock price - Current;Info - Price Currency;Info - Report Currency;Earnings/share - Current;ROIC - Average 5y;Earnings g. - Growth 5y;Fair value
RVRC;Revolutionrace;23,8;Consumer Durables;Sweden;Clothing & Footwear;RVRC;25,70%;0,4;17,80%;734,2;46,50%;88;6,90%;16,10%;23,50%;8,60%;15,50%;6,40%;3,90%;73%;1%;17;5;5;68,4;68,4;SEK;SEK;2,88;29,10%;13,60%;52,5
SD;SandRidge Energy Inc;8,6;Energy;USA;Oil & Gas -Exploration;SD;13,70%;0,3;26,20%;606;44,30%;83;2,50%;19,70%;26,60%;16,70%;23,50%;5,80%;6,00%;87%;11%;19;4;5;16,48;16,48;USD;USD;1,91;43,10%;17,60%;32,47
SA2D;SandRidge Energy Inc;9,1;Energy;Germany;Oil & Gas -Exploration;SA2D;13,70%;0,3;26,20%;606,8;44,20%;79;10,40%;28,70%;35,80%;16,60%;23,10%;5,50%;5,70%;91%;5%;19;4;5;15;15;EUR;USD;1,91;43,10%;17,60%;30,61
STNG;Scorpio Tankers Inc;9,2;Energy;USA;Oil & Gas -Transportation;STNG;10,80%;0,2;44,40%;3185,2;72,90%;87;3,60%;15,70%;24,20%;11,70%;19,80%;7,30%;6,50%;123%;16%;20;4;5;68,42;68,42;USD;USD;7,4;12,00%;33,90%;105,36
S0QA;Scorpio Tankers Inc;9,5;Energy;Germany;Oil & Gas -Transportation;S0QA;10,80%;0,2;44,40%;3034,7;65,90%;80;5,30%;17,40%;25,80%;11,50%;19,40%;7,20%;6,20%;115%;19%;20;4;5;59,26;59,26;EUR;USD;7,4;12,00%;33,90%;100,34
SPA;Spadel SA;25,9;Food and Beverage;Belgium;Beverages;SPA;13,50%;0,5;9,90%;1241,7;47,00%;89;6,80%;19,20%;24,70%;11,60%;16,80%;4,60%;5,30%;47%;2%;20;5;5;272;272;EUR;EUR;10,51;15,00%;9,80%;178,5
YX5;Spadel SA;25,1;Food and Beverage;Germany;Beverages;YX5;13,50%;0,5;9,90%;1205,2;45,90%;72;1,70%;12,90%;17,40%;11,00%;15,40%;4,00%;2,80%;46%;6%;18;5;5;264;264;EUR;EUR;10,51;15,00%;9,80%;178,5
TEN;Tenaris SA;15;Energy;Italy;Oil & Gas - Services;TEN;11,60%;0,2;16,50%;27051,8;32,50%;90;18,00%;34,70%;37,70%;14,20%;16,70%;2,20%;4,10%;70%;1%;21;4;5;23,29;23,29;EUR;USD;1,83;16,40%;40,10%;22,25
TRMD A;TORM;8,7;Energy;Denmark;Oil & Gas -Transportation;TRMD A;13,00%;0,5;25,90%;2473,1;30,30%;87;0,00%;11,50%;17,30%;11,50%;17,30%;5,10%;4,90%;95%;20%;16;4;5;161,75;161,75;DKK;USD;2,92;16,80%;19,60%;227,91
UTHR;United Therapeutics Corp;17,7;Health Care;USA;Pharmaceuticals;UTHR;18,80%;0,1;32,50%;23669,5;73,90%;87;9,40%;19,00%;30,00%;8,80%;18,80%;9,20%;5,10%;100%;3%;15;5;5;534,3;534,3;USD;USD;30,13;53,20%;20,90%;594,05
WWIB;Wilh. Wilhelmsen B;4,1;Industrials;Norway;Marine & Sea;WWIB;19,90%;0,3;31,00%;2718,9;73,50%;89;3,70%;20,20%;25,90%;15,90%;21,40%;4,80%;5,50%;110%;6%;20;5;5;642;642;NOK;USD;15,52;12,70%;43,80%;684,2
